CIDm00005002	CIDs00005002	ATC	N05AH04
CIDm00037465	CIDs06540456	ATC	L01DB05
CIDm00033625	CIDs00033625	ATC	C02CA02
CIDm00666418	CIDs00666418	ATC	J04AD01
CIDm00016575	CIDs00203911	ATC	R06AX16
CIDm86583374	CIDs86583374	ATC	L03AX07
CIDm00002550	CIDs00044093	ATC	C09AA01
CIDm00071798	CIDs00071798	ATC	C02AA06
CIDm00004748	CIDs00004748	ATC	N05AB03
CIDm00005917	CIDs00005917	ATC	R07AB03
CIDm00122197	CIDs00122197	ATC	V09AB03
CIDm00029566	CIDs00029566	ATC	B05CA05
CIDm00002997	CIDs00002997	ATC	N05BA16
CIDm00017506	CIDs00017506	ATC	B02BX01
CIDm00667490	CIDs00667490	ATC	L01BB02
CIDm00003512	CIDs00441140	ATC	D01AA08
CIDm00003512	CIDs00441140	ATC	D01BA01
CIDm00002612	CIDs00006024	ATC	J01DB03
CIDm00003360	CIDs00003360	ATC	N02BG04
CIDm00005379	CIDs00005379	ATC	J01MA16
CIDm00005379	CIDs00005379	ATC	S01AE06
CIDm00003890	CIDs05311221	ATC	S01EE01
CIDm00002310	CIDs00002310	ATC	R07AB05
CIDm00005219	CIDs00005219	ATC	C01DX18
CIDm03032788	CIDs05360723	ATC	M03AA01
CIDm00002524	CIDs05280453	ATC	A11CC04
CIDm00002524	CIDs05280453	ATC	D05AX03
CIDm00005918	CIDs00005918	ATC	N07XX05
CIDm00004417	CIDs00004417	ATC	C04AX21
CIDm00002536	CIDs00002536	ATC	B02AB04
CIDm00004165	CIDs00004165	ATC	C03BA09
CIDm09873345	CIDs09873345	ATC	N06DA52
CIDm00002270	CIDs06479523	ATC	J01CA09
CIDm00071637	CIDs20055089	ATC	N04AC30
CIDm00071749	CIDs00071749	ATC	A02AD03
CIDm00102258	CIDs00474409	ATC	V03AF07
CIDm00002729	CIDs00667467	ATC	N05AF03
CIDm00065039	CIDs00092879	ATC	J01CE03
